Time resolution is 1 ps
Time = 2390000 | data_in = 0ff8 | data_out = 74c2 | rst = 0
Time = 2400000 | data_in = 39e9 | data_out = 74c2 | rst = 0
Time = 2410000 | data_in = 39e9 | data_out = 6fd7 | rst = 0
Time = 2420000 | data_in = 63d0 | data_out = 6fd7 | rst = 0
Time = 2430000 | data_in = 63d0 | data_out = 6139 | rst = 0
Time = 2440000 | data_in = 52cd | data_out = 6139 | rst = 0
Time = 2450000 | data_in = 52cd | data_out = 5c2c | rst = 0
Time = 2460000 | data_in = 1d5c | data_out = 5c2c | rst = 0
Time = 2470000 | data_in = 1d5c | data_out = 66a6 | rst = 0
Time = 2480000 | data_in = 0c46 | data_out = 66a6 | rst = 0
Time = 2490000 | data_in = 0c46 | data_out = 710e | rst = 0
Time = 2500000 | data_in = 3609 | data_out = 710e | rst = 0
Time = 2510000 | data_in = 3609 | data_out = 6bd0 | rst = 0
Time = 2520000 | data_in = 5fc4 | data_out = 6bd0 | rst = 0
Time = 2530000 | data_in = 5fc4 | data_out = 5cdf | rst = 0
Time = 2540000 | data_in = 4e94 | data_out = 5cdf | rst = 0
Time = 2550000 | data_in = 4e94 | data_out = 5780 | rst = 0
Time = 2560000 | data_in = 18f8 | data_out = 5780 | rst = 0
Time = 2570000 | data_in = 18f8 | data_out = 61a9 | rst = 0
Time = 2580000 | data_in = 07b7 | data_out = 61a9 | rst = 0
Time = 2590000 | data_in = 07b7 | data_out = 6bc1 | rst = 0
Time = 2600000 | data_in = 3150 | data_out = 6bc1 | rst = 0
Time = 2610000 | data_in = 3150 | data_out = 6633 | rst = 0
Time = 2620000 | data_in = 5ae1 | data_out = 6633 | rst = 0
Time = 2630000 | data_in = 5ae1 | data_out = 56f2 | rst = 0
Time = 2640000 | data_in = 4989 | data_out = 56f2 | rst = 0
Time = 2650000 | data_in = 4989 | data_out = 5145 | rst = 0
Time = 2660000 | data_in = 13c4 | data_out = 5145 | rst = 0
Time = 2670000 | data_in = 13c4 | data_out = 5b21 | rst = 0
Time = 2680000 | data_in = 025d | data_out = 5b21 | rst = 0
